['2', '1000'] 
['2', '1110'] 
['3', '10000000'] 
['3', '10000010'] 
['3', '10000100'] 
['3', '10000110'] 
['3', '10001000'] 
['3', '10001010'] 
['3', '10001100'] 
['3', '10010000'] 
['3', '10010010'] 
['3', '10010100'] 
['3', '10011000'] 
['3', '10011010'] 
['3', '10011100'] 
['3', '10011110'] 
['3', '10100000'] 
['3', '10100010'] 
['3', '10100100'] 
['3', '10100110'] 
['3', '10101000'] 
['3', '10101100'] 
['3', '10101110'] 
['3', '10110000'] 
['3', '10110100'] 
['3', '10110110'] 
['3', '10111000'] 
['3', '10111010'] 
['3', '10111100'] 
['3', '10111110'] 
['3', '11000000'] 
['3', '11000010'] 
['3', '11000100'] 
['3', '11000110'] 
['3', '11001000'] 
['3', '11001010'] 
['3', '11001110'] 
['3', '11010000'] 
['3', '11010010'] 
['3', '11010110'] 
['3', '11011000'] 
['3', '11011010'] 
['3', '11011100'] 
['3', '11011110'] 
['3', '11100000'] 
['3', '11100010'] 
['3', '11100100'] 
['2', '1100'] ['3', '11101101'] 
['2', '1100'] ['3', '11101111'] 
['2', '1100'] ['3', '11110001'] 
['2', '1100'] ['3', '11110011'] 
['2', '1100'] ['3', '11110101'] 
['2', '1100'] ['3', '11110111'] 
['2', '1100'] ['3', '11111001'] 
['2', '1100'] ['3', '11111011'] 
['2', '1100'] ['3', '11111101'] 
['0', '0'] ['2', '1100'] 
['0', '1'] ['2', '1100'] 
['1', '00'] ['2', '1100'] 
['1', '11'] ['2', '1100'] 
['2', '0000'] ['2', '1100'] 
['2', '0110'] ['2', '1100'] 
['2', '1001'] ['2', '1100'] 
['2', '1100'] ['2', '1111'] 
['2', '1100'] ['3', '00000000'] 
['2', '1100'] ['3', '00001001'] 
['2', '1100'] ['3', '00001011'] 
['2', '1100'] ['3', '00001101'] 
['2', '1100'] ['3', '00011001'] 
['2', '1100'] ['3', '00011011'] 
['2', '1100'] ['3', '00011101'] 
['2', '1100'] ['3', '00100001'] 
['2', '1100'] ['3', '00100011'] 
['2', '1100'] ['3', '00100101'] 
['2', '1100'] ['3', '00100111'] 
['2', '1100'] ['3', '00101001'] 
['2', '1100'] ['3', '00101101'] 
['2', '1100'] ['3', '00101111'] 
['2', '1100'] ['3', '00110001'] 
['2', '1100'] ['3', '00110101'] 
['2', '1100'] ['3', '00111001'] 
['2', '1100'] ['3', '00111011'] 
['2', '1100'] ['3', '00111101'] 
['2', '1100'] ['3', '01000001'] 
['2', '1100'] ['3', '01000011'] 
['2', '1100'] ['3', '01000101'] 
['2', '1100'] ['3', '01000111'] 
['2', '1100'] ['3', '01001001'] 
['2', '1100'] ['3', '01001011'] 
['2', '1100'] ['3', '01001111'] 
['2', '1100'] ['3', '01010001'] 
['2', '1100'] ['3', '01010011'] 
['2', '1100'] ['3', '01011001'] 
['2', '1100'] ['3', '01011011'] 
['2', '1100'] ['3', '01011101'] 
